job_id,job_title,company,location,work_mode,job_category,job_description,required_skills,soft_skills,tools_mentioned,internship_duration,date_posted,source_platform
"J015","Data Engineering Intern","RiverByte Tech","Remote Malaysia","Remote","Software/Data Intern","Assist with data pipelines, PostgreSQL tables, Python validation scripts, and cloud storage experiments on AWS.","Python; SQL; PostgreSQL; AWS; data cleaning","problem solving; documentation; teamwork","PostgreSQL; AWS","6 months","2026-04-20","Company Careers"
"J016","Growth Analyst Intern","LoopMarket","Singapore","Hybrid","Product Analyst Intern","Study acquisition funnels, run cohort analysis, create Google Data Studio dashboards, and communicate product growth insights.","SQL; Google Data Studio; reporting; dashboard; data visualization","presentation; analytical thinking; communication","Google Data Studio; Excel","4 months","2026-05-08","Wellfound"
"J017","Junior AI Intern","EduMind Labs","Kuala Lumpur","On-site","AI Intern","Prepare learning datasets, test TensorFlow models, evaluate classification accuracy, and summarize machine learning experiment findings.","Python; TensorFlow; machine learning; deep learning; data visualization","documentation; presentation; problem solving","TensorFlow","5 months","2026-04-18","LinkedIn"
"J018","Data Analyst Intern","HealthBridge","Penang","Hybrid","Data Analyst Intern","Clean clinic operations data, use pandas for analysis, write SQL queries, and build dashboard visuals for management reporting.","Python; pandas; SQL; data cleaning; dashboard","communication; analytical thinking; teamwork","pandas; Excel","6 months","2026-05-12","Glassdoor"
"J019","Operations Business Analyst Intern","SwiftMove Logistics","Shah Alam","On-site","Business Analyst Intern","Analyze delivery operations, build Excel and Power BI reports, document process improvements, and present insights to stakeholders.","Excel; Power BI; reporting; data visualization","stakeholder management; presentation; problem solving","Excel; Power BI","3 months","2026-05-07","Indeed"
"J020","Product Analyst Intern","GameSpark Studio","Remote Malaysia","Remote","Product Analyst Intern","Analyze gameplay metrics, segment users with SQL, visualize retention trends, and prepare dashboard recommendations for product teams.","SQL; Python; dashboard; data visualization; reporting","communication; analytical thinking; presentation","Tableau; Excel","6 months","2026-04-29","Wellfound"
"J021","Computer Vision Intern","AgriSense AI","Selangor","Hybrid","AI Intern","Label image datasets, train object detection models, evaluate computer vision outputs, and use Python with PyTorch for experiments.","Python; computer vision; PyTorch; deep learning; machine learning","teamwork; problem solving; documentation","PyTorch","6 months","2026-05-13","Company Careers"
"J022","Data Analytics Intern","BluePeak Consulting","Kuala Lumpur","Hybrid","Data Analyst Intern","Support client analytics projects by cleaning CSV files, building pandas transformations, creating Tableau charts, and writing insight summaries.","Python; pandas; Tableau; data cleaning; reporting","communication; presentation; documentation","pandas; Tableau","4 months","2026-05-14","LinkedIn"
"J023","BI Analyst Intern","Parklane Hotels","Kuala Lumpur","On-site","Business Analyst Intern","Create dashboard reports for hotel occupancy, analyze Excel data, write SQL queries, and update Looker Studio views.","SQL; Excel; Looker; Google Data Studio; dashboard","stakeholder management; communication; teamwork","Excel; Looker; Google Data Studio","3 months","2026-04-24","Indeed"
"J024","Data Quality Intern","CrediCore","Cyberjaya","Hybrid","Software/Data Intern","Check data quality rules, clean database records, use SQL and Python scripts, and document issues for engineering teams.","SQL; Python; data cleaning; MySQL; reporting","documentation; problem solving; teamwork","MySQL; Excel","6 months","2026-05-15","Company Careers"
"J025","NLP Intern","LinguaTech AI","Remote Malaysia","Remote","AI Intern","Build text preprocessing scripts, evaluate NLP keyword extraction, use scikit-learn classifiers, and document model performance.","Python; NLP; scikit-learn; machine learning; data cleaning","documentation; analytical thinking; problem solving","scikit-learn; pandas","6 months","2026-05-16","Wellfound"
"J026","Product Analytics Intern","PayBridge","Kuala Lumpur","Hybrid","Product Analyst Intern","Use SQL to analyze payment funnels, prepare Tableau product dashboards, and present recommendations for improving conversion.","SQL; Tableau; dashboard; reporting; data visualization","presentation; stakeholder management; communication","Tableau","6 months","2026-04-23","LinkedIn"
"J027","Data Analyst Intern","GreenLeaf Commerce","Selangor","Hybrid","Data Analyst Intern","Analyze ecommerce orders, clean Excel exports, write SQL queries, and build weekly dashboards for commercial planning.","SQL; Excel; data cleaning; dashboard; reporting","communication; analytical thinking; teamwork","Excel; Power BI","3 months","2026-05-17","Indeed"
"J028","AI Product Intern","VoiceFlow Systems","Singapore","Hybrid","AI Intern","Support AI product analytics, review NLP model outputs, track product metrics, and prepare stakeholder presentation materials.","NLP; machine learning; SQL; dashboard; reporting","presentation; stakeholder management; communication","Looker; Excel","5 months","2026-05-18","Company Careers"
"J029","Analytics Engineering Intern","NorthStar Data","Remote Malaysia","Remote","Software/Data Intern","Model analytics tables, maintain PostgreSQL queries, build data documentation, and support dashboard-ready datasets.","SQL; PostgreSQL; data cleaning; reporting; dashboard","documentation; problem solving; teamwork","PostgreSQL; Tableau","6 months","2026-04-21","LinkedIn"
"J030","Business Analyst Intern","Silverline Insurance","Kuala Lumpur","On-site","Business Analyst Intern","Prepare requirement notes, analyze claims data in Excel, validate SQL reports, and present dashboard insights to business stakeholders.","Excel; SQL; reporting; dashboard; data visualization","stakeholder management; presentation; communication","Excel; Power BI","4 months","2026-05-19","Glassdoor"
"J031","Data Visualization Intern","CityPulse Media","Petaling Jaya","Hybrid","Data Analyst Intern","Create visual reports, design Tableau dashboard pages, clean campaign data, and communicate trends to marketing managers.","Tableau; data visualization; data cleaning; reporting; Excel","communication; presentation; analytical thinking","Tableau; Excel","3 months","2026-05-20","LinkedIn"
"J032","Machine Learning Operations Intern","ModelCraft","Cyberjaya","Hybrid","AI Intern","Track model metrics, prepare Python evaluation scripts, support Azure machine learning experiments, and document deployment results.","Python; machine learning; Azure; scikit-learn; reporting","documentation; problem solving; teamwork","Azure; scikit-learn","6 months","2026-04-27","Company Careers"
"J033","Finance Data Intern","AtlasBank","Kuala Lumpur","On-site","Data Analyst Intern","Clean financial datasets, use SQL for reconciliation checks, build Excel reports, and prepare Power BI dashboard updates.","SQL; Excel; Power BI; data cleaning; reporting","documentation; communication; analytical thinking","Excel; Power BI","6 months","2026-05-02","Indeed"
"J034","Product Analyst Intern","FitLoop","Remote Malaysia","Remote","Product Analyst Intern","Analyze subscription metrics, use Python and SQL for retention analysis, create dashboards, and write product insight notes.","Python; SQL; dashboard; reporting; data visualization","analytical thinking; communication; presentation","Tableau; Excel","5 months","2026-04-19","Wellfound"
"J035","Data Intern","FreshRoute","Johor Bahru","On-site","Data Analyst Intern","Support supply chain reporting, clean Excel files, update SQLite datasets, and create basic Matplotlib visualizations.","Python; Excel; SQLite; data cleaning; data visualization","teamwork; documentation; problem solving","Excel; SQLite","3 months","2026-05-01","Handshake"
"J036","Cloud Data Intern","SkyLedger","Penang","Hybrid","Software/Data Intern","Help test cloud data storage, write SQL checks, prepare Python scripts, and compare AWS and Google Cloud analytics workflows.","Python; SQL; AWS; Google Cloud; data cleaning","documentation; problem solving; communication","AWS; Google Cloud","6 months","2026-05-09","Company Careers"
"J037","Customer Insights Intern","OmniShop","Kuala Lumpur","Hybrid","Business Analyst Intern","Analyze survey and transaction data, prepare stakeholder reports, create Power BI visuals, and present customer insights.","Excel; Power BI; reporting; data visualization; SQL","stakeholder management; presentation; communication","Excel; Power BI","4 months","2026-04-30","LinkedIn"
"J038","AI Data Intern","AutoVision Labs","Selangor","On-site","AI Intern","Clean sensor datasets, label image samples, run computer vision experiments, and evaluate TensorFlow model outputs.","Python; TensorFlow; computer vision; deep learning; data cleaning","problem solving; teamwork; documentation","TensorFlow","6 months","2026-05-06","Glassdoor"
"J039","Reporting Analyst Intern","UniServe","Cyberjaya","Hybrid","Data Analyst Intern","Build monthly service reports, validate SQL data, maintain dashboards, and write concise documentation for operations leaders.","SQL; reporting; dashboard; Excel; data visualization","documentation; communication; analytical thinking","Excel; Tableau","3 months","2026-05-03","Indeed"
"J040","Product Operations Analyst Intern","Travelio","Singapore","Hybrid","Product Analyst Intern","Review booking funnel data, create Looker dashboards, summarize product operations issues, and communicate recommendations.","SQL; Looker; dashboard; reporting; data visualization","communication; presentation; stakeholder management","Looker","6 months","2026-05-12","LinkedIn"
"J041","Database Intern","SecureData Systems","Kuala Lumpur","On-site","Software/Data Intern","Maintain MySQL tables, run SQL quality checks, document database changes, and assist with Python data exports.","SQL; MySQL; Python; data cleaning; reporting","documentation; teamwork; problem solving","MySQL","4 months","2026-04-17","Company Careers"
"J042","Junior Data Analyst Intern","SolarWise","Remote Malaysia","Remote","Data Analyst Intern","Use pandas to clean solar monitoring data, create charts, prepare weekly reports, and maintain a Streamlit dashboard prototype.","Python; pandas; data cleaning; data visualization; dashboard","communication; documentation; analytical thinking","pandas; Streamlit","5 months","2026-05-21","Handshake"
"J043","Marketing Analytics Intern","AdVantage Studio","Petaling Jaya","Hybrid","Data Analyst Intern","Analyze campaign performance, build Google Data Studio reports, clean spreadsheets, and present insights to account teams.","Google Data Studio; Excel; reporting; data visualization; dashboard","presentation; communication; stakeholder management","Google Data Studio; Excel","3 months","2026-05-07","LinkedIn"
"J044","Business Data Intern","CarePlus","Penang","On-site","Business Analyst Intern","Support business data requests, prepare Excel analysis, validate SQL results, and document dashboard requirements.","Excel; SQL; reporting; dashboard; data cleaning","stakeholder management; documentation; communication","Excel; Power BI","4 months","2026-05-13","Indeed"
"J045","AI Analytics Intern","TalentMatch AI","Remote Malaysia","Remote","AI Intern","Analyze resume text data, build NLP features, evaluate machine learning models, and create dashboard summaries of hiring insights.","Python; NLP; machine learning; scikit-learn; dashboard","analytical thinking; documentation; presentation","scikit-learn; Tableau","6 months","2026-05-14","Wellfound"
"J046","Software Engineering Intern","ByteGarden","Kuala Lumpur","Hybrid","Software Engineering Intern","Build web application features using JavaScript, React, REST API integration, Git, and unit testing in an agile sprint team.","JavaScript; React; REST API; Git; software testing","teamwork; problem solving; documentation","Git; GitHub","6 months","2026-05-22","LinkedIn"
"J047","Frontend Developer Intern","PixelMart","Remote Malaysia","Remote","Software Engineering Intern","Create responsive HTML and CSS pages, implement React components, connect API data, and document frontend behavior.","HTML/CSS; JavaScript; React; REST API; GitHub","communication; documentation; teamwork","GitHub; Figma","4 months","2026-05-21","Company Careers"
"J048","Backend Developer Intern","CoreLedger","Petaling Jaya","Hybrid","Software Engineering Intern","Develop backend services with Node.js, Express.js, REST API endpoints, MySQL queries, Docker containers, and Git version control.","Node.js; Express.js; REST API; MySQL; Docker; Git","problem solving; documentation; teamwork","Docker; Git; MySQL","6 months","2026-05-19","Indeed"
"J049","Full Stack Developer Intern","UrbanApps","Cyberjaya","Hybrid","Software Engineering Intern","Support full stack development using React, Node.js, MongoDB, REST APIs, GitHub pull requests, and agile sprint planning.","React; Node.js; MongoDB; REST API; Agile; GitHub","teamwork; communication; problem solving","MongoDB; GitHub","6 months","2026-05-20","LinkedIn"
"J050","Mobile App Developer Intern","PocketWave","Kuala Lumpur","On-site","Software Engineering Intern","Build mobile screens with Flutter, connect Firebase authentication, test app flows, and document technical decisions.","Flutter; Firebase; software testing; Git; REST API","documentation; teamwork; problem solving","Flutter; Firebase; Git","4 months","2026-05-18","Company Careers"
"J051","QA Software Testing Intern","TestHive","Penang","Hybrid","Software Engineering Intern","Write test cases, perform software testing, report bugs, validate REST API responses, and support agile release cycles.","software testing; REST API; Git; Agile; documentation","analytical thinking; communication; problem solving","Git; GitHub","3 months","2026-05-16","Indeed"
"J052","DevOps Intern","CloudForge","Remote Malaysia","Remote","Software Engineering Intern","Assist with Docker containers, GitHub actions, AWS deployment checks, Linux commands, and documentation for release pipelines.","Docker; GitHub; AWS; Linux; documentation","problem solving; teamwork; documentation","Docker; GitHub; AWS; Linux","6 months","2026-05-15","Company Careers"
"J053","Information Systems Intern","BizFlow Systems","Kuala Lumpur","Hybrid","Information Systems Intern","Support system analysis, gather requirements, document business process workflows, assist UAT, and update CRM records.","system analysis; requirements analysis; business process; UAT; CRM","stakeholder management; communication; documentation","CRM; Excel","6 months","2026-05-22","LinkedIn"
"J054","System Analyst Intern","BrightOps","Shah Alam","On-site","Information Systems Intern","Map business process flows, write system requirements, prepare UAT scenarios, and coordinate with software developers.","system analysis; requirements analysis; UAT; business process","stakeholder management; communication; analytical thinking","Excel; Jira","4 months","2026-05-17","Indeed"
"J055","ERP Functional Intern","SupplyNexa","Johor Bahru","On-site","Information Systems Intern","Assist ERP users, document process issues, validate SAP data, prepare user acceptance testing notes, and support reporting.","ERP; UAT; business process; reporting; Excel","communication; documentation; problem solving","ERP; Excel","6 months","2026-05-12","Company Careers"
"J056","Business Systems Intern","CareLink Digital","Remote Malaysia","Remote","Information Systems Intern","Analyze workflow gaps, document CRM requirements, support system configuration, and prepare training documentation for users.","CRM; requirements analysis; system analysis; IT documentation","communication; stakeholder management; documentation","CRM; Google Data Studio","5 months","2026-05-11","LinkedIn"
"J057","Digital Transformation Intern","Maju Holdings","Kuala Lumpur","Hybrid","Information Systems Intern","Support digital transformation projects by mapping workflows, collecting requirements, preparing dashboards, and tracking UAT feedback.","business process; requirements analysis; UAT; dashboard; reporting","stakeholder management; presentation; communication","Excel; Power BI","6 months","2026-05-09","Indeed"
"J058","AI Engineering Intern","RoboNusa","Cyberjaya","Hybrid","AI / Machine Learning Intern","Build machine learning prototypes, evaluate deep learning models, use TensorFlow, and prepare Python experiment notebooks.","Python; machine learning; deep learning; TensorFlow; data visualization","problem solving; documentation; teamwork","TensorFlow","6 months","2026-05-22","Company Careers"
"J059","Machine Learning Intern","PredictWorks","Kuala Lumpur","Hybrid","AI / Machine Learning Intern","Prepare feature engineering scripts, train scikit-learn models, compare evaluation metrics, and communicate model limitations.","Python; machine learning; scikit-learn; pandas; statistics","analytical thinking; communication; documentation","scikit-learn; pandas","6 months","2026-05-21","LinkedIn"
"J060","NLP Engineering Intern","TextMind Studio","Remote Malaysia","Remote","AI / Machine Learning Intern","Create NLP preprocessing pipelines, evaluate text classifiers, build keyword extraction logic, and document model performance.","Python; NLP; scikit-learn; machine learning; data cleaning","documentation; problem solving; analytical thinking","scikit-learn; pandas","6 months","2026-05-18","Wellfound"
"J061","Computer Vision Intern","CamSense","Penang","On-site","AI / Machine Learning Intern","Label images, train computer vision models, test object detection outputs, and use PyTorch for model experiments.","Python; computer vision; PyTorch; deep learning; machine learning","teamwork; problem solving; documentation","PyTorch","6 months","2026-05-14","Company Careers"
"J062","AI Model Evaluation Intern","TrustAI Labs","Kuala Lumpur","Hybrid","AI / Machine Learning Intern","Evaluate AI model outputs, review bias metrics, write Python reports, and summarize findings for product and research teams.","Python; machine learning; statistics; reporting; data visualization","communication; analytical thinking; documentation","Python; Excel","4 months","2026-05-10","LinkedIn"
"J063","Data Science Intern","InsightFarm","Kuala Lumpur","Hybrid","Data Science Intern","Analyze customer datasets, perform statistical analysis, build predictive models, use pandas and NumPy, and present data science insights.","Python; pandas; NumPy; statistics; machine learning","presentation; analytical thinking; communication","pandas; NumPy; scikit-learn","6 months","2026-05-22","LinkedIn"
"J064","Junior Data Scientist Intern","ClaimWise","Petaling Jaya","Hybrid","Data Science Intern","Clean claims data, engineer features, train scikit-learn models, evaluate performance, and create charts for business review.","Python; pandas; scikit-learn; data cleaning; data visualization","documentation; analytical thinking; problem solving","pandas; scikit-learn","6 months","2026-05-19","Indeed"
"J065","Data Science Research Intern","BioLens Analytics","Remote Malaysia","Remote","Data Science Intern","Explore research datasets, run statistical analysis, build Python notebooks, and explain model results to non-technical stakeholders.","Python; statistics; pandas; machine learning; reporting","communication; presentation; documentation","pandas; Excel","5 months","2026-05-17","Company Careers"
"J066","Data Mining Intern","RetailScope","Kuala Lumpur","Hybrid","Data Science Intern","Mine transaction patterns, create customer segments, clean data with pandas, and summarize predictive insights for marketing teams.","Python; pandas; data cleaning; statistics; machine learning","analytical thinking; communication; teamwork","pandas; Tableau","4 months","2026-05-13","LinkedIn"
"J067","Multimedia Design Intern","CreativeNest","Kuala Lumpur","On-site","Multimedia / UIUX Intern","Create digital media assets, edit short videos, design graphics in Adobe Photoshop and Illustrator, and support campaign visuals.","Adobe Photoshop; Adobe Illustrator; video editing; motion graphics","creativity; communication; teamwork","Adobe Photoshop; Adobe Illustrator; Adobe Premiere Pro","3 months","2026-05-22","Company Careers"
"J068","UI UX Design Intern","FlowPixel","Remote Malaysia","Remote","Multimedia / UIUX Intern","Design wireframes, build Figma prototypes, improve user flows, and collaborate with developers on responsive interface details.","UI/UX design; Figma; wireframing; prototyping; HTML/CSS","communication; stakeholder management; presentation","Figma","4 months","2026-05-21","LinkedIn"
"J069","Graphic Design Intern","BrandLoom","Petaling Jaya","Hybrid","Multimedia / UIUX Intern","Prepare social media artwork, edit brand assets, use Adobe Illustrator and Photoshop, and organize design documentation.","Adobe Illustrator; Adobe Photoshop; motion graphics","creativity; communication; documentation","Adobe Illustrator; Adobe Photoshop","3 months","2026-05-18","Indeed"
"J070","Video Production Intern","StoryArc Media","Kuala Lumpur","On-site","Multimedia / UIUX Intern","Edit product demo videos, prepare motion graphics, organize footage, and support Adobe Premiere Pro post-production workflow.","video editing; motion graphics; Adobe Premiere Pro; communication","teamwork; communication; documentation","Adobe Premiere Pro","3 months","2026-05-15","Company Careers"
"J071","Game Development Intern","PlayForge Studio","Remote Malaysia","Remote","Multimedia / UIUX Intern","Prototype gameplay features in Unity, create simple game interactions, debug scripts, and document game development tasks.","Unity; game development; C#; Git; problem solving","teamwork; problem solving; documentation","Unity; Git","6 months","2026-05-13","Wellfound"
"J072","3D Artist Intern","RenderLab","Cyberjaya","Hybrid","Multimedia / UIUX Intern","Create basic 3D models, prepare Blender assets, optimize textures, and collaborate with multimedia developers for interactive scenes.","Blender; 3D modeling; Unity; motion graphics","creativity; teamwork; documentation","Blender; Unity","4 months","2026-05-08","Company Careers"
"J073","Cybersecurity Intern","SafeNet Malaysia","Kuala Lumpur","Hybrid","Cybersecurity / IT Intern","Monitor security alerts, document incident response steps, perform vulnerability assessment checks, and review firewall logs.","cybersecurity; vulnerability assessment; incident response; firewall; Linux","documentation; analytical thinking; problem solving","Linux","6 months","2026-05-22","LinkedIn"
"J074","IT Support Intern","OfficeLink","Selangor","On-site","Cybersecurity / IT Intern","Troubleshoot user issues, manage support tickets, configure laptops, document IT support steps, and assist network checks.","troubleshooting; IT documentation; networking; Linux","communication; problem solving; documentation","Linux","3 months","2026-05-20","Indeed"
"J075","Network Support Intern","NetBridge","Penang","On-site","Cybersecurity / IT Intern","Assist with network monitoring, DNS checks, router documentation, firewall rules, and troubleshooting connectivity incidents.","networking; firewall; troubleshooting; incident response","problem solving; documentation; communication","Linux","4 months","2026-05-18","Company Careers"
"J076","SOC Analyst Intern","CyberWatch","Remote Malaysia","Remote","Cybersecurity / IT Intern","Review security monitoring alerts, classify incidents, write incident response notes, and support vulnerability scanning tasks.","cybersecurity; incident response; vulnerability assessment; Linux","analytical thinking; documentation; teamwork","Linux","6 months","2026-05-12","LinkedIn"
"J077","Cloud Security Intern","CloudSentinel","Cyberjaya","Hybrid","Cybersecurity / IT Intern","Review AWS security settings, document access controls, support vulnerability assessment, and monitor cloud security findings.","AWS; cybersecurity; vulnerability assessment; documentation; Linux","problem solving; documentation; communication","AWS; Linux","6 months","2026-05-09","Company Careers"
"J078","Data Engineer Intern","PipeLake Data","Kuala Lumpur","Hybrid","Software Engineering Intern","Build data pipelines, write SQL transformations, maintain PostgreSQL tables, use Python scripts, and document ETL workflows.","Python; SQL; PostgreSQL; data cleaning; Git","documentation; problem solving; teamwork","PostgreSQL; Git","6 months","2026-05-07","LinkedIn"
"J079","Analytics Engineer Intern","MetricStack","Remote Malaysia","Remote","Software Engineering Intern","Model analytics datasets, validate SQL logic, prepare dashboard-ready tables, and version control transformations using GitHub.","SQL; GitHub; data cleaning; reporting; dashboard","documentation; analytical thinking; teamwork","GitHub; Tableau","6 months","2026-05-06","Wellfound"
"J080","Cloud Data Intern","SkyTable","Singapore","Hybrid","Software Engineering Intern","Support cloud data workflows, test AWS storage, write Python validation scripts, and document data pipeline behavior.","Python; AWS; SQL; Docker; documentation","problem solving; communication; documentation","AWS; Docker","6 months","2026-05-05","Company Careers"
"J081","Application Support Intern","AppCare Digital","Johor Bahru","On-site","Information Systems Intern","Support application users, document system issues, perform UAT checks, and coordinate fixes with software engineering teams.","UAT; system analysis; IT documentation; troubleshooting","communication; stakeholder management; problem solving","Excel; CRM","4 months","2026-05-04","Indeed"
"J082","Implementation Consultant Intern","DeployMate","Kuala Lumpur","Hybrid","Information Systems Intern","Assist software implementation projects, collect user requirements, configure CRM workflows, prepare UAT scripts, and train users.","requirements analysis; CRM; UAT; business process; documentation","stakeholder management; presentation; communication","CRM; Excel","6 months","2026-05-03","LinkedIn"
"J083","Product Design Intern","NaviPay","Remote Malaysia","Remote","Multimedia / UIUX Intern","Research user pain points, create Figma wireframes, prototype mobile flows, and present UX improvements to product managers.","UI/UX design; Figma; wireframing; prototyping; presentation","communication; stakeholder management; analytical thinking","Figma","5 months","2026-05-02","Company Careers"
"J084","Creative Technology Intern","MuseInteractive","Kuala Lumpur","Hybrid","Multimedia / UIUX Intern","Combine multimedia assets with interactive web pages using HTML, CSS, JavaScript, Figma designs, and motion graphics.","HTML/CSS; JavaScript; Figma; motion graphics; UI/UX design","creativity; teamwork; communication","Figma; Adobe Premiere Pro","4 months","2026-05-01","Wellfound"
"J085","Software Engineer Intern","FinApp Labs","Singapore","Hybrid","Software Engineering Intern","Implement backend features, review pull requests, write unit tests, use Java and Spring style APIs, and maintain Git workflows.","Java; REST API; software testing; Git; OOP","problem solving; teamwork; documentation","Git; GitHub","6 months","2026-04-30","LinkedIn"
"J086","Web Developer Intern","EduPortal","Remote Malaysia","Remote","Software Engineering Intern","Build student portal pages with HTML, CSS, JavaScript, React, and connect frontend forms to REST API services.","HTML/CSS; JavaScript; React; REST API; GitHub","communication; teamwork; problem solving","GitHub","4 months","2026-04-29","Company Careers"
"J087","Data Analyst Intern","TalentGrid","Kuala Lumpur","Hybrid","Data Analyst Intern","Clean HR datasets, write SQL queries, build Tableau dashboards, and prepare weekly reporting for recruitment operations.","SQL; Tableau; data cleaning; reporting; dashboard","communication; analytical thinking; documentation","Tableau; Excel","3 months","2026-04-28","Indeed"
"J088","Business Analyst Intern","ClinicSoft","Penang","On-site","Business Analyst Intern","Gather healthcare software requirements, map business process flows, coordinate UAT, and present Power BI dashboard findings.","requirements analysis; business process; UAT; Power BI; dashboard","stakeholder management; presentation; communication","Power BI; Excel","4 months","2026-04-27","LinkedIn"
"J089","Product Analyst Intern","MealGo","Kuala Lumpur","Hybrid","Product Analyst Intern","Analyze app funnels, user behavior, A B test results, SQL metrics, and dashboard insights for product roadmap decisions.","SQL; dashboard; reporting; data visualization; statistics","communication; analytical thinking; presentation","Looker; Excel","6 months","2026-04-26","Wellfound"
"J090","Data Science Intern","SmartPrice","Remote Malaysia","Remote","Data Science Intern","Build price prediction notebooks, clean product data, use Python and scikit-learn, and explain model evaluation results.","Python; scikit-learn; data cleaning; machine learning; statistics","documentation; analytical thinking; communication","scikit-learn; pandas","6 months","2026-04-25","Company Careers"
"J091","AI Research Intern","VoiceSense","Kuala Lumpur","Hybrid","AI / Machine Learning Intern","Research speech and NLP models, prepare Python experiments, compare deep learning outputs, and document model evaluation.","Python; NLP; deep learning; TensorFlow; machine learning","documentation; problem solving; presentation","TensorFlow","6 months","2026-04-24","LinkedIn"
"J092","Information Systems Intern","CampusERP","Remote Malaysia","Remote","Information Systems Intern","Support ERP module testing, collect student services requirements, document workflows, and assist UAT with internal users.","ERP; requirements analysis; UAT; business process; IT documentation","communication; documentation; stakeholder management","ERP; Excel","5 months","2026-04-23","Handshake"
